Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T Cells
TCGA-DD-AADJ-01,0.072491593140815,0.055143882847954,0.685458114875044,0.045144198383762,0.088526555788921,0.009405523698773,0.036080621000677,0.007749510264053,0,0.844626265700688,0.540354347552202,,0.21616203177769
TCGA-DD-AAD6-01,0.170949790406506,0.028303879897218,0.611308986738357,0.050908479002879,0.021397576486613,0.028825162773115,0.087553417720644,0.000752706974669,0,0.77081861911869,0.639560472165824,,0.220651246790336
TCGA-BC-A10S-01,0.047276545049227,0.045247862995703,0.621847866413507,0.107458576097637,0.067184492329278,0.04013613599643,0.068356251528967,0.002492269589251,0,0.822456369218462,0.572979367588406,,0.159708900374208
TCGA-DD-A11C-11,0.114828672551459,0,0.729247127587633,0.006845442073305,0.09036524519794,0.014265838172836,0.039962803396091,0.004484871020737,0,0.84590180522471,0.543679647337843,,0.205193917749399
TCGA-BC-A10Q-11,0.079519293813077,0,0.735397803393633,0.022218892242027,0.110969351402591,0.005323516066851,0.041662254227701,0.00490888885412,0,0.887875818759123,0.46846925151404,,0.190488645215668
TCGA-LG-A9QD-01,0.113051321851571,0.040064460673073,0.663132239304797,0.065530957555896,0.037378889258863,0.026328070686384,0.049663480272958,0.004850580396458,0,0.758696335532091,0.659418054710209,,0.190494671783508
TCGA-DD-A3A1-01,0.079153768490154,0.019658093873627,0.692065994317942,0.075527946060594,0.076072116713416,0.017091602016067,0.038065515310117,0.002364963218082,0,0.851517611989647,0.529411960274398,,0.174883979077197
TCGA-DD-AACZ-01,0.120571167682427,0.050571141517172,0.336779306737751,0.124718814245555,0.102338183963279,0.063135696523663,0.200711205031395,0.001174484298759,0,0.70411442286496,0.746918476404876,,0.273480493162877
TCGA-CC-A7IK-01,0.18437297591966,0.091513813943359,0.297754998268338,0.17571477028461,0.059543023983068,0.036967718346186,0.15413269925478,0,0,0.501782924683396,0.869330495717815,,0.335429813846087
TCGA-DD-AADO-01,0.099717779365761,0.04414182087145,0.615626484465066,0.097284183165951,0.043210193246881,0.037663539713883,0.058920788206535,0.003435210964474,0,0.790586707703036,0.615140424505016,,0.187069793484092
TCGA-CC-A7II-01,0.115096162814571,0.168122988333411,0.08121565394574,0.320088639032297,0.029652898391294,0.130580391608578,0.154722705603823,0.000520560270285,0,0.551106681554785,0.906258563931512,,0.312872049539276
TCGA-RC-A6M3-01,0.178069989527813,0.044600400049306,0.288193873079804,0.130898696535768,0.119398750016322,0.077140467107769,0.158934895322286,0.002762928360932,0,0.630636063748647,0.807385777326179,,0.342069139593441
TCGA-DD-A39W-11,0.059808328949097,0,0.755022228296472,0.020837168127441,0.102965543239457,0.010797747389634,0.046931931947011,0.003637052050888,0,0.884315209835148,0.479023419255044,,0.162773872188554
TCGA-DD-AAW1-01,0.150153296827122,0.061546137537301,0.486138283255456,0.157056060054291,0.026067319503214,0.015665284860677,0.101548808857788,0.001824809104151,0,0.734412934353296,0.687570594155129,,0.237766753867637
TCGA-NI-A8LF-01,0.120199477882908,0.001877747685251,0.613936263904229,0.062137682806649,0.11404792216713,0.022748115844664,0.064807540493806,0.000245249215364,0,0.806775398348097,0.594034223909893,,0.236125147735288
TCGA-FV-A23B-01,0.134197319427259,0.025859455655837,0.573009970640963,0.09439864118106,0.093422773656343,0.030073649272187,0.047557398739149,0.001480791427202,0,0.761695749039134,0.650397604370951,,0.253479548739439
TCGA-DD-AADC-01,0.183429717315278,0.033946172448404,0.444716216224235,0.102571321958381,0.075759669566552,0.046958435421669,0.112166032454028,0.000452434611454,0,0.78805342578106,0.650240023284556,,0.293135559330233
TCGA-G3-A3CJ-01,0.137433480979328,0.049042289060288,0.65160629991428,0.024730068528596,0.045699150039807,0.011387727811981,0.077772310036824,0.002328673628897,0,0.788098364518208,0.619912147145444,,0.232174920079422
TCGA-ZP-A9D1-01,0.119242331118035,0.006528315831964,0.581450291905328,0.078167759322298,0.102781690943535,0.031343871324452,0.07608513740511,0.004400602149278,0,0.787085859692435,0.620489981664974,,0.228552337893534
TCGA-DD-A73C-01,0.143519266061825,0.02702716251552,0.532525106237254,0.075602911032201,0.124451266879523,0.03440815732841,0.045088515317159,0.017377614628107,0,0.705443535270932,0.710110033793933,,0.294997695456868
TCGA-CC-A9FU-01,0.096186415245154,0.049460490418028,0.398530306049415,0.134863612898507,0.140579264439996,0.077100752513858,0.102448081241677,0.000831077193365,0,0.712312761128484,0.726080849586098,,0.286226170103178
TCGA-G3-A25X-01,0.054589851696456,0.096017418315298,0.334810695511557,0.261371099228118,0.025081120554869,0.047801745928081,0.180185872080251,0.00014219668537,0,0.469286594800714,0.882808647726924,,0.175688390566624
TCGA-DD-AACP-01,0.168005610818538,0.048505150257999,0.405879029389962,0.147147208917625,0.041942098398304,0.058099274334622,0.124943546949421,0.005478080933529,0,0.684567836871043,0.743477257883946,,0.258452859474842
TCGA-UB-A7MB-01,0.155352090154035,0.018528672132475,0.512795355618669,0.093557023335381,0.100671936330114,0.038228977058082,0.071598171040251,0.009267774330994,0,0.766868759873361,0.651619457692428,,0.274552698616624
TCGA-DD-AADG-01,0.126187727750836,0.014198481480949,0.601917671379961,0.057139990885441,0.107387576541549,0.024334014025679,0.067839077976548,0.000995459959037,0,0.782318091775895,0.625302154783813,,0.247773785773334
TCGA-RC-A6M6-01,0.101681994619607,0.078646531851787,0.340928281574392,0.182219662618742,0.107344846558771,0.087793423556923,0.097689107182791,0.003696152036987,0,0.503590561982487,0.864847673147147,,0.287673373030165
TCGA-DD-A4NH-01,0.080570339835514,0.018631768152989,0.314759294434806,0.18787558727692,0.141661191546816,0.071786359974153,0.184125549419006,0.000589909359796,0,0.654163666857566,0.784653753093545,,0.240863299535319
TCGA-EP-A12J-01,0.163418907780211,0.068222028465078,0.438718445920886,0.126868141745094,0.056765280629024,0.019768054957275,0.126239140502433,0,0,0.678766880439436,0.741965409951875,,0.288406216874312
TCGA-CC-5262-01,0.093495875173104,0.022203570303389,0.566112282741987,0.112863825569063,0.06783828223345,0.022483606378687,0.114114988387483,0.000887569212837,0,0.793172001966984,0.614413688671113,,0.183537727709943
TCGA-ZS-A9CD-01,0.102255007837573,0.008874598778284,0.574101041902976,0.09447855574834,0.067372655786331,0.023176378841982,0.126677552288494,0.003064208816019,0,0.829240142722914,0.568384470013877,,0.178502262402188
TCGA-DD-AAE9-01,0.123176607541668,0.032111629599723,0.529995397853619,0.106341181886107,0.050452029600116,0.039051197077545,0.117987049415562,0.00088490702566,0,0.756672086999874,0.659088103259135,,0.205740266741507
TCGA-BD-A2L6-01,0.104815985968525,0.019935927281531,0.65363527226599,0.060724821630131,0.100308892505018,0.023796378398741,0.034364731075611,0.002417990874453,0,0.825660511669996,0.567573238953674,,0.225060805755074
TCGA-DD-AAEI-01,0.093273337565211,0.065659772858042,0.655692395865615,0.087284748647032,0.030684364359725,0.013614551734079,0.050344823159301,0.003446005810996,0,0.849510791283541,0.532032897282642,,0.189617474782977
