NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
BSG	73.9079873879637	1	84.9609460945736	81.299085657702	150.813226444486	149.751828066906	1	143.957023007293
BTF3L4	1	92.9350551656491	1	72.378663784335	1	1	1	1
BTG2	1	1	255.635503541946	1	218.630978379433	174.84596497604	120.840738819863	127.76441417712
BTN3A2	1	1	119.969770414605	1	113.785203006424	185.565179979832	1	1
BUB3	1	1	129.832488831779	1	97.8963584462919	125.562386235399	1	86.8938706376412
BUD31	1	1	83.6763635184622	1	101.389148551923	106.29970372215	1	1
BZW1	103.40661663159	1	115.033108384805	1	125.535568714857	131.308227695459	1	68.4579038011445
C10orf54	1	91.5718906177942	72.4534403973604	291.581943621954	1	78.5939121135073	1	1
C11orf54	143.214399507624	1	1	1	1	1	1	1
C12orf57	128.96659775274	1	230.441963473967	1	130.051261849019	181.036248450295	104.342652950745	207.591317809025
C12orf75	1	1	85.3362594203129	1	69.8792574174205	216.669178596673	1	134.686177613691
C14orf1	76.4919284700124	1	1	1	1	1	1	1
C14orf166	1	1	120.284817917478	135.446043799148	117.169228864207	112.767801292995	1	118.473812035386
C16orf54	1	1	77.0364841745911	1	1	94.9656315334364	1	1
C17orf62	1	1	1	1	69.5285593618191	1	1	1
C17orf89	94.7686045987081	1	1	1	85.9720677094606	1	1	114.288114379636
C19orf24	1	1	76.2202956534126	1	1	1	1	77.5576024700147
C19orf38	1	1	1	77.9734884968196	1	1	1	1
C19orf66	1	1	74.3499112973198	1	1	72.2536118013928	1	1
C19orf70	108.636331940705	1	81.5355795237633	97.7504231627067	79.5090862740873	1	1	82.6798837888705
C1QA	1	7675.97417460041	1	2593.47484674756	1	1	1	1
C1QB	1	7292.92746988239	1	2336.65690558414	1	1	1	1
C1QBP	1	1	77.0951599648985	1	78.8492716277166	1	115.935517977715	197.662617423084
C1QC	1	2659.41891521113	1	1107.32540126438	1	1	1	1
C1R	643.012040466858	1	1	1	1	1	1	1
C1S	1266.14054173371	1	1	1	1	1	1	1
C1orf162	1	672.321759010143	1	605.221560306316	80.4144934635061	132.512954701268	1	1
C1orf21	1	1	1	1	1	107.257855026193	1	1
C1orf43	58.0394314207665	87.7531236522786	1	79.2723266223495	73.5157929378491	1	1	1
C1orf54	1	201.949136333817	1	1	1	1	1	1
C1orf56	1	1	132.929976814712	1	176.078392971754	304.21886171025	84.8407890768512	1
C2	142.262459389612	154.196495325707	1	1	1	1	1	1
C20orf24	90.5619853296755	96.070180768145	1	81.322072515491	1	1	1	87.087546106967
C20orf27	1	1	1	103.996741986336	1	1	1	1
C3AR1	1	83.3334572116803	1	95.4079978182544	1	1	1	1
C4BPA	405.824769925003	1	1	1	1	1	1	1
C4BPB	199.507109421256	1	1	1	1	1	1	1
C4orf48	1	215.346024769864	63.1426726570284	179.022560671339	1	1	1	1
C5	202.452478149611	1	1	1	1	1	1	1
C5AR1	1	151.633995633807	1	216.055093086053	1	1	1	1
C5orf56	1	1	1	1	117.830767270159	112.878702613426	1	1
C6	141.45490971311	1	1	1	1	1	1	1
C6orf62	58.0181116544273	502.433266283306	137.33608799331	151.081942647832	99.8628360245004	120.267203710517	100.216110570162	1
C7	203.331115617102	1	1	1	1	1	1	1
C8A	101.743806961912	1	1	1	1	1	1	1
C8B	105.398506162795	1	1	1	1	1	1	1
C8G	411.483260877919	1	1	1	1	1	1	1
C9	824.833129148133	1	1	1	1	1	1	79.8746769642857
C9orf142	1	1	146.153885607766	1	166.353062258868	225.146582953755	1	1
C9orf78	1	1	111.817187413494	1	117.299905035476	81.4986209124405	1	1
CA2	81.051859475964	1	1	1	1	1	1	1
CACYBP	1	1	1	1	1	1	1	74.5217181754718
CALCOCO2	1	94.0922848388993	1	1	1	1	1	1
CALD1	322.402059910936	1	1	1	1	1	1	1
CALM3	1	298.997223733241	140.382259197148	140.294442847541	170.62022759158	251.854813445303	1	150.847737807593
CALR	291.695973945722	83.5044150931309	165.808075565331	155.56982653719	137.737947223515	183.987379423765	85.6600362829045	887.697581718826
CAMK2N1	66.5100619509042	1	1	1	1	1	1	1
CAMLG	1	1	81.5172398921891	1	1	84.5297043921325	1	1
CAMTA1	90.3576251134522	1	1	1	1	1	1	1
CANX	198.696175341478	152.050508734728	86.4586867306285	126.00916567476	1	1	1	186.614868647856
CAP1	1	349.55763568236	251.05541102391	262.628883599367	227.271232177225	285.326039231674	157.031573121511	1
CAPG	1	1	1	151.640785246167	1	1	1	1
CAPNS1	1	192.407378714273	1	135.837479534751	1	1	1	1
CAPZA1	1	295.900147995585	156.735413667128	196.707184194013	172.775783076231	157.589063098026	95.8841314950273	82.0774138436358
CAPZA2	96.7427589193389	178.976963095109	68.0596520609999	165.027037560122	88.3773346811666	1	1	1
CARD16	1	105.326110395573	121.714964645546	182.552531949799	115.487434159474	176.61034034113	1	1
CARD8	1	1	71.6197096214866	1	73.4482583626553	72.6421594640506	1	1
CARHSP1	127.20340046006	1	1	1	120.88495936383	178.278694431256	1	66.0240391008914
CASP1	1	1	68.4678715819811	72.9908140517369	1	1	1	1
CASP4	1	70.8349170633485	147.610705482025	107.677403392672	243.043991544272	151.429113079626	1	1
CAST	77.474081739597	91.5889834589049	66.9946986662086	162.716593455319	1	128.290827335511	68.8161030627412	1
CAT	178.313852457003	93.5804584996756	1	1	1	1	78.8359751961227	1
CBLB	1	1	65.529033334698	1	90.7785799071983	1	1	1
CBR1	99.9740805700421	1	1	1	1	1	1	1
CCDC107	1	1	94.5886088754763	1	71.8229859903605	75.8481405525845	1	1
CCDC12	1	1	83.6115675348836	1	99.3156713949067	127.799061546708	88.1731145679849	1
CCDC167	1	1	1	1	1	1	1	145.494405423068
CCDC59	1	1	1	1	77.0435969768968	1	1	1
CCDC69	1	1	1	1	127.577530186282	69.5731743614852	1	1
CCDC85B	1	1	167.056423550432	96.4538440985867	199.185625834812	193.292187580095	89.7106899554605	1
CCDC88A	1	121.873450958459	1	95.6043564498021	1	1	1	1
CCDC88C	1	1	1	1	1	81.3106890183126	1	1
CCL14	305.713552770607	1	1	1	1	1	1	1
CCL16	85.3614339573514	1	1	1	1	1	1	1
CCL3	1	482.25181328223	503.162953751423	693.629079853462	2561.50915825129	1381.29041449619	1	1
CCL3L3	1	1	354.518577527696	268.279815483249	335.950153430771	263.18278587327	1	1
CCL4	1	490.38074766507	1337.64001487822	362.423163373805	2761.33340695577	2383.5573591962	1	1
CCL4L2	1	152.421348832003	305.969793603892	1	279.870843812017	202.254491127129	1	1
CCL5	1	1	2814.97205941042	1	2660.52058966956	2821.21995438351	1	1
CCM2	1	1	1	1	76.9597205533385	1	1	1
CCNC	1	1	1	1	1	1	1	74.9402953905677
CCND1	66.8249251024637	1	1	1	1	1	1	1
CCND2	1	1	1	1	68.5470937811352	1	1	447.997218233562
CCND3	1	1	240.262747596602	70.7391659254458	302.395052682708	320.164113156201	138.26215888813	1
CCNDBP1	1	1	80.2981980543822	1	71.462007951269	105.164940763265	1	1
CCNH	1	1	118.981552155063	1	144.004289728612	88.6056056094697	1	1
CCR1	1	197.705770097414	1	89.0885161278561	1	1	1	1
CCS	57.8662113130993	1	1	1	1	1	1	1
CCSER2	1	1	1	1	76.7579767372627	1	1	1
CCT2	1	1	1	1	1	1	1	84.4094153314006
CCT3	1	1	1	1	1	1	1	92.5003501817778
CCT4	1	1	67.3525751098163	1	102.642973765811	1	1	88.3053695876415
CCT5	1	1	1	1	1	1	1	66.1712967873101
CCT6A	1	1	1	1	1	1	1	81.7971868941635
CCT7	1	1	1	1	1	1	1	84.3275894140125
CCT8	1	1	72.0944547596022	1	82.0266651836252	1	1	113.014125099311
CD14	226.513241695132	231.002031689517	1	724.340805920155	1	1	1	1
CD160	1	1	86.0298421188189	1	543.696392057816	120.432146614766	1	1
CD163	1	3159.62017985338	1	924.759994383713	1	1	1	1
CD2	1	1	653.591971081299	1	233.87367823545	306.715484546198	1	1
CD22	1	1	1	1	1	1	190.183197990165	1
CD24	1	1	1	1	1	1	173.614222876464	1
CD247	1	1	137.836909744685	1	534.478784108363	564.637605190504	1	1
CD27	1	1	126.720913640476	1	82.3383280679168	1	1	236.294539877475
CD300A	1	1	1	1	1	109.994615361193	1	1
CD300E	1	1	1	68.6906088071609	1	1	1	1
CD302	125.193988759025	333.265644931645	1	253.687028293642	1	1	1	1
CD320	1	1	1	1	1	102.580830697317	1	90.2618831948629
CD33	1	80.8855089943629	1	1	1	1	1	1
CD36	1	1	1	138.495747547368	1	1	1	1
CD37	1	1	340.876077145916	250.674299543534	239.048650524091	320.525926594704	1536.36743750869	1
CD38	1	1	1	1	112.675043976452	1	1	213.402772159525
CD3D	1	1	914.118640733643	1	1	323.180557268363	1	1
CD3E	1	1	552.989888615773	1	191.135709749068	241.165864878014	1	1
CD3G	1	1	314.148869933925	1	1	138.117416317821	1	1
CD4	1	341.741675395623	1	70.750362295373	1	1	1	1
CD44	1	467.719436580371	284.220602502113	302.792547159125	96.2314673084674	130.366750343736	147.004689574124	1
CD47	1	1	96.764562013713	1	117.641091010518	199.237262112315	1	1
CD48	1	1	451.309983363145	207.923809721276	249.320107806415	327.919281977423	239.493207894352	75.4582167352847
CD52	1	1	883.145962602674	314.478915165988	1	607.31047782307	1926.8165516915	1
