NAME	CD8+ Cells	Tregs	Non-immune cluster	Nk Cells	CD4+ Cells	B Cells	Myeloid	Mast Cells
CLEC10A	1	1	1	1	1	1	210.26864383724	1
CLEC2D	818.446314042101	783.756851803346	1	465.904613929904	637.508738820729	233.966911302461	1	1
CLEC4A	1	1	1	1	1	1	141.925294797502	1
CLEC7A	1	1	1	1	1	1	314.417874329798	1
CLIC3	1	1	1	300.215013372801	1	1	1	1
CLIC4	1	1	1	1	1	156.206186137532	1	1
CLINT1	1	1	1	1	1	228.118787954469	1	73.6277082845067
CLN8	1	1	1	1	1	1	188.293298360012	1
CLNK	1	1	1	1	1	1	1	391.76955003915
CLNS1A	221.859850421465	1	1	1	192.129645564395	119.859651972947	198.647139058359	293.879196222131
CLPP	1	154.728763532144	1	1	220.340792922945	174.450838514427	1	1
CLPTM1L	1	1	1	1	1	157.44936177925	1	1
CLU	1	1	1465.09566619943	1	1	1	1	1515.8496926682
CMB9.22P13.1	1	1	1	1	1	277.356004703925	1	1
CMC1	932.639421602345	1	1	1511.2823522499	375.337926135298	193.404101950335	199.155932009855	1
CMC2	238.639986102749	1	1	1	216.310804397009	158.762835201687	1	157.829223016473
CMIP	1	1	1	1	1	1	180.139551556077	321.369692353306
CMPK1	1	1	1	1	1	1	1	230.87952934278
CNDP2	1	1	1	1	1	1	156.693872143201	1
CNIH4	1	1	184.982451731046	1	1	1	1	1
CNN2	1	192.849191653221	1	1	236.060926716783	1	165.191560214932	214.337827492994
CNN3	1	1	580.481759562684	1	1	1	1	1
CNOT2	1	187.843425656916	1	1	1	112.16445294709	1	1
CNOT6L	578.010676737054	326.323075650672	1	422.527813820763	407.008834946806	244.014885180756	1	1
CNOT7	1	1	1	1	1	195.856488105695	1	1
CNPY3	1	1	1	1	1	1	287.790961108397	1
COA3	1	1	394.259412299622	1	1	166.546600273194	1	415.027745229546
COA4	1	1	233.947991067994	1	1	1	1	1
COBLL1	1	1	1	1	1	250.314290534902	1	1
COL18A1	1	1	375.198592183378	1	1	1	1	1
COL4A1	1	1	349.944030505965	1	1	1	1	1
COL4A2	1	1	321.216983431047	1	1	1	1	1
COMMD3	1	167.425161015638	1	1	1	247.92440907986	1	227.046657407285
COMT	1	1	203.37531958178	1	1	1	219.836179501784	419.258882263351
COPA	1	1	1	1	1	157.613111411562	1	1
COPB1	1	1	1	1	1	182.157264019035	1	1
COPS2	1	1	1	1	1	1	1	201.497616444538
COPS3	1	1	1	1	1	1	1	290.964337273921
COQ10B	235.864187072408	164.69586949438	1	1	213.491043612573	133.735725307328	1	235.613279235074
CORO1A	999.41289339831	1129.29111737369	1	928.100723205254	1272.15286512772	432.15304002204	575.401612199848	154.301046205401
CORO1B	225.627307716239	567.60909654368	1	1	375.123429041164	167.851789216987	205.849687279049	1
COTL1	227.258564534541	1	1	1	1	1	346.740061336576	1
COX7A1	1	1	235.01638871395	1	1	1	1	1
CP	1	1	381.571401395081	1	1	1	1	1
CPA3	1	1	1	1	1	1	1	2622.05956896186
CPEB4	1	1	1	1	1	247.092304666624	1	151.784405639544
CPM	1	1	1	1	1	1	177.869115246707	219.533646570117
CPNE1	1	174.540641481926	1	1	1	193.165449313503	1	200.900783619616
CPNE3	1	1	1	1	1	1	176.80857420501	1
CPVL	1	1	1	1	1	1	489.876311235626	1
CRADD	1	246.231939502003	1	1	1	1	1	1
CRBN	1	1	1	1	194.266544719709	118.721364880245	1	598.787843506189
CREB3L2	1	1	1	1	1	264.659610639583	1	1
CREBL2	1	1	1	1	1	1	134.485521287146	1
CRELD2	1	1	1	1	1	202.778700920104	1	1
CRIP2	1	1	698.269385790129	1	1	1	1	1
CRTAM	460.414015530309	1	1	1	1	1	1	1
CSF1R	1	1	1	1	1	1	189.064907431672	1
CSF2RA	1	1	1	1	1	1	211.813506568322	1
CSNK1D	221.504633244447	201.440460048252	1	245.143071829842	1	1	156.189343930783	214.337827492994
CSRNP1	195.633924545889	1	1	1	1	1	158.804349041637	154.301046205401
CSRP1	1	1	1	1	1	1	1	502.286117565518
CSRP2	1	1	258.787341367202	1	1	1	1	1
CST3	1	1	390.380213483333	1	1	1	1749.43091212014	140.261302824379
CST7	1951.22402006481	904.569213356524	1	2287.84281607083	874.339919243096	482.863805849626	268.562423903746	140.261302824379
CSTA	1	1	1	1	1	1	298.55790381957	1
CTA.384D8.34	1	1	1	1	1	169.091577076348	1	1
CTLA4	254.779167654744	459.996208749371	1	1	1	1	1	1
CTNNB1	1	219.244049779292	471.705795760586	278.34788490661	1	1	431.212477351106	1
CTNNBL1	1	1	1	1	1	1	1	689.952180436467
CTSA	1	1	264.094856346772	1	1	1	246.265633825768	1
CTSG	1	1	1	1	1	1	1	2877.37060082433
CTSH	1	1	1	1	1	227.045681986592	524.62530898491	1
CTSL	1	1	278.609402335867	1	1	1	469.903303752779	1
CTSW	568.036914715837	1	1	1208.89894817311	505.814494470928	232.885378901099	1	230.87952934278
CTSZ	1	1	1	1	1	1	534.360622833042	1
CWC15	1	243.398588574549	280.640969767486	1	191.305296737786	125.897553216578	209.633338634793	1
CWC25	280.010529801495	366.697729322483	1	297.975101268033	1	172.363523062808	1	1
CWF19L2	1	178.588424671443	1	1	247.707657762634	131.505817554702	1	1
CXCL16	1	1	1	1	1	1	386.62058947735	427.611272920719
