"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRO",4.01989553731095e-132,1.28996732971919,0.229,0.016,8.04260500149801e-128,"Central_venous_LSECs","MRO"
"EMILIN1",3.99147868148463e-131,1.09669295115967,0.193,0.01,7.98575139804631e-127,"Central_venous_LSECs","EMILIN1"
"ADM",6.25970889647859e-131,1.73129751739497,0.422,0.061,1.25237995891847e-126,"Central_venous_LSECs","ADM"
"SERPINH1",1.17438935379762e-128,1.46685926119685,0.353,0.042,2.34960078014289e-124,"Central_venous_LSECs","SERPINH1"
"KIF19",4.2139592902706e-124,0.705167186541787,0.118,0.003,8.4308683520444e-120,"Central_venous_LSECs","KIF19"
"KCNK6",1.22895055552115e-121,1.60282186738851,0.467,0.08,2.45876137643116e-117,"Central_venous_LSECs","KCNK6"
"SEC14L1",3.85001540567593e-121,1.71050467383862,0.611,0.143,7.70272582213583e-117,"Central_venous_LSECs","SEC14L1"
"MEIS2",1.45410770669513e-120,1.63698077754199,0.402,0.059,2.90923328878495e-116,"Central_venous_LSECs","MEIS2"
"PLXND1",4.31771302137059e-119,1.55815080650984,0.464,0.079,8.63844844185614e-115,"Central_venous_LSECs","PLXND1"
"TP53I11",1.60101783497128e-118,1.26802587188419,0.268,0.025,3.20315638242704e-114,"Central_venous_LSECs","TP53I11"
"LPAR6",2.16727725835318e-118,1.5997362154004,0.467,0.081,4.33607161078721e-114,"Central_venous_LSECs","LPAR6"
"S100A16",4.02951546456271e-118,1.75861747944445,0.657,0.181,8.06185158995061e-114,"Central_venous_LSECs","S100A16"
"TMEM44",2.88472853701738e-117,1.12524934230147,0.219,0.016,5.77147638401067e-113,"Central_venous_LSECs","TMEM44"
"ELK3",4.84545610340174e-117,1.5566175589764,0.389,0.057,9.69430402607586e-113,"Central_venous_LSECs","ELK3"
"FAM84A",5.55228558405852e-117,0.993682573448182,0.15,0.007,1.11084577680259e-112,"Central_venous_LSECs","FAM84A"
"SCARF1",2.2944520966593e-116,1.29161562779052,0.258,0.024,4.59051030978627e-112,"Central_venous_LSECs","SCARF1"
"RP1-187B23.1",3.00255196433506e-116,0.806433648382824,0.121,0.004,6.00720571504515e-112,"Central_venous_LSECs","RP1-187B23.1"
"CNTNAP3B",2.0087745380645e-115,1.39493716847788,0.297,0.033,4.01895521830565e-111,"Central_venous_LSECs","CNTNAP3B"
"NR2F2",2.78737418462088e-115,1.66603516724463,0.562,0.124,5.57669953117099e-111,"Central_venous_LSECs","NR2F2"
"EMCN",2.65730960158798e-114,1.39118637860508,0.297,0.033,5.31647931989708e-110,"Central_venous_LSECs","EMCN"
"ZBTB46",1.34026199949111e-113,0.852135036016646,0.157,0.008,2.68146218238187e-109,"Central_venous_LSECs","ZBTB46"
"PLTP",2.36728691677522e-113,1.51406864704384,0.431,0.07,4.73623093439218e-109,"Central_venous_LSECs","PLTP"
"ACSM3",3.00360218750884e-113,1.539816456736,0.399,0.063,6.00930689654894e-109,"Central_venous_LSECs","ACSM3"
"FAM43A",4.02188346242307e-112,1.37528183295984,0.324,0.04,8.04658224326984e-108,"Central_venous_LSECs","FAM43A"
"CETP",4.00612015279577e-111,1.47168454329758,0.32,0.039,8.0150445896985e-107,"Central_venous_LSECs","CETP"
"ARHGAP29",1.04971731373796e-110,1.68284185788444,0.487,0.1,2.10016942959553e-106,"Central_venous_LSECs","ARHGAP29"
"RNASE1",1.77979218942833e-110,1.50796772831785,0.559,0.113,3.56083023338927e-106,"Central_venous_LSECs","RNASE1"
"HES1",4.33385061152522e-110,1.78590149308158,0.712,0.226,8.67073491847851e-106,"Central_venous_LSECs","HES1"
"CPNE2",7.03945670193445e-110,1.33473799585616,0.294,0.034,1.40838410235602e-105,"Central_venous_LSECs","CPNE2"
"C7",1.41849958760286e-108,1.47266119833938,0.448,0.074,2.83799212491704e-104,"Central_venous_LSECs","C7"
"RBMS3",1.1606275776871e-107,1.44306742250415,0.337,0.046,2.32206759467858e-103,"Central_venous_LSECs","RBMS3"
"MMRN2",1.4044571207551e-107,1.38119101832091,0.33,0.043,2.80989736149472e-103,"Central_venous_LSECs","MMRN2"
"WDR66",1.35658527945699e-106,1.00304527822282,0.16,0.009,2.7141201686096e-102,"Central_venous_LSECs","WDR66"
"RAPGEF5",3.45321268291349e-106,1.32389526367774,0.261,0.027,6.90884261470501e-102,"Central_venous_LSECs","RAPGEF5"
"CAV1",4.02845069105764e-106,1.43137745153593,0.431,0.073,8.05972129759903e-102,"Central_venous_LSECs","CAV1"
"ICAM2",4.61781903643243e-106,1.50719668723856,0.477,0.093,9.23887054619036e-102,"Central_venous_LSECs","ICAM2"
"MEF2C",1.40530351629486e-105,1.51829692882917,0.572,0.132,2.81159074505112e-101,"Central_venous_LSECs","MEF2C"
