"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5H.1",9.20000145065072e-18,-0.277914391154342,0.428,0.614,1.84708429124715e-13,"Nk Cells","ATP5H"
"PHF20.1",9.24468732062395e-18,0.383223741896992,0.381,0.292,1.85605587336167e-13,"Nk Cells","PHF20"
"NUP210",1.03375808115435e-17,0.357267066910078,0.136,0.072,2.0754760995336e-13,"Nk Cells","NUP210"
"LIMS1.3",1.07954879463823e-17,-0.31743583458103,0.238,0.368,2.16741011499517e-13,"Nk Cells","LIMS1"
"NDUFB1.1",1.08818576687981e-17,-0.286314349124662,0.463,0.659,2.18475056416459e-13,"Nk Cells","NDUFB1"
"HIST3H2A",1.12459467665603e-17,0.408415127562259,0.127,0.066,2.25784873232231e-13,"Nk Cells","HIST3H2A"
"C9orf78.1",1.15169902896414e-17,0.335242692132579,0.484,0.417,2.31226614045131e-13,"Nk Cells","C9orf78"
"GLB1.3",1.18257712987276e-17,-0.291617539705236,0.051,0.128,2.37426010364555e-13,"Nk Cells","GLB1"
"EZH2",1.25098241023382e-17,0.389594178973174,0.146,0.08,2.51159738502644e-13,"Nk Cells","EZH2"
"NFATC2.1",1.37842435794785e-17,0.364786332141238,0.165,0.093,2.76746258345189e-13,"Nk Cells","NFATC2"
"BIRC3.5",1.41836076447842e-17,0.261695660530681,0.621,0.498,2.84764290684331e-13,"Nk Cells","BIRC3"
"DLEU2",1.42416094005389e-17,0.36983560136184,0.107,0.052,2.85928791934619e-13,"Nk Cells","DLEU2"
"TSEN54.1",1.43805748081766e-17,0.366819645024155,0.137,0.072,2.88718800423762e-13,"Nk Cells","TSEN54"
"PELI1.2",1.80228279628242e-17,-0.354676934197885,0.077,0.162,3.61844317009622e-13,"Nk Cells","PELI1"
"NAA50.1",1.87204354892499e-17,0.375605826540506,0.393,0.312,3.7585018331767e-13,"Nk Cells","NAA50"
"DECR1.3",1.90096055135938e-17,-0.255255664302682,0.238,0.383,3.81655849896423e-13,"Nk Cells","DECR1"
"TTC14.1",2.2855130270791e-17,0.400555498497468,0.316,0.228,4.58862450446671e-13,"Nk Cells","TTC14"
"IFI16.3",2.42925258082844e-17,0.255169263530505,0.605,0.536,4.87721040652926e-13,"Nk Cells","IFI16"
"EVI2A.5",2.43908739070083e-17,0.299374778391536,0.337,0.226,4.89695575431006e-13,"Nk Cells","EVI2A"
"NR4A3.3",2.46293664681698e-17,0.41886528130115,0.215,0.137,4.94483790581444e-13,"Nk Cells","NR4A3"
"AIFM1.2",2.65020719309453e-17,-0.252678464336539,0.048,0.122,5.32082098157589e-13,"Nk Cells","AIFM1"
"OSBPL9.3",2.83156079331261e-17,-0.250929617315252,0.077,0.166,5.68492460473373e-13,"Nk Cells","OSBPL9"
"TAPBP.1",2.86690517555675e-17,0.284865418846943,0.55,0.513,5.75588552096529e-13,"Nk Cells","TAPBP"
"NUDT3.3",3.08491081173888e-17,-0.258499089444985,0.07,0.154,6.19357543672815e-13,"Nk Cells","NUDT3"
