NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
C15orf48	1	1	1	237.775741756551	1	1	221.576320218693	1
C18orf32	1	1	1	1	1	1	119.327328602449	1
C19orf53	181.779538503634	1	1	1	1	1	280.86917818365	1
C1QA	1	8542.20327206699	211.374216676968	2620.76066008408	1	582.281053207156	1	1
C1QB	1	11446.3437511692	1	3435.29414619313	1	796.790352313778	1	1
C1QC	1	2697.33341058397	1	966.555182288158	1	1	1	1
C1R	591.949594531432	1	1	1	1	1	1	1
C1S	536.103834531047	1	1	1	1	1	1	1
C1orf162	1	876.075627754138	869.503551209322	605.546224460895	1	822.798606706351	1211.4602296955	1
C1orf43	256.067890647565	1	272.798049438131	247.676095102469	1	195.383906715906	146.056179321237	1
C1orf54	1	251.603543609507	1	1	1	1	828.921515138941	1
C2	1	455.327116924558	1	1	1	1	1	1
C20orf27	1	1	1	1	1	1	126.472896067758	1
C3	1355.31254797452	418.772046674317	1	1188.81319133248	1	781.819954120463	1	1
C3AR1	1	412.896501622996	309.331199937303	438.85247699684	1	218.797166299506	1	1
C4B	321.022623814168	1	1	1	1	1	1	380.392138274014
C5AR1	1	616.548959461832	1096.04521893093	674.632072937402	1	1	1	1
C5orf34	1	1	1	1	1	173.805325241302	90.0197669125506	1
C6orf48	224.257166309679	1	1	215.329748798642	1	238.959007042206	255.469478194728	1
C6orf62	1	317.745845816385	1	261.532388475453	1	220.734380021091	254.913103570578	1
C7	593.490479470632	1	1	1	1	1	1	1
C8orf44.SGK3	1	1	1	1	1	1	161.810242582618	1
C9	278.499543597372	549.29183270991	1	535.913744961024	1	1	1	1
CACNA2D3	1	1	1	1	244.839729704699	219.481291760079	173.142990420301	1
CACYBP	1	1	1	1	301.911605332544	1	270.769892781379	1
CADM1	1	1	1	1	1	1	599.773348254001	1
CALCOCO2	212.899567523078	1	1	1	1	1	1	1
CALD1	928.13574877548	1	1	1	1	1	1	1
CALHM6	1	452.824101888412	277.26164475502	231.118139948777	1	432.922471063493	1	1
CALM3	227.382633296167	337.584734556261	1	294.643056487693	360.558008207622	1	1	1
CALU	249.543134011529	1	1	1	1	1	1	1
CAMK2D	1	1	1	1	1	1	285.988228591018	1
CAPG	1	1	240.821251574886	1073.65082386891	1	348.433486695563	1	1
CAPN2	266.047769195676	1	1	1	1	1	1	1
CAPZA1	1	325.919285259679	321.026656882348	307.53931411958	358.473942821397	327.455915691142	196.982725020363	1
CAPZB	1	178.422930630247	216.711588413397	289.747146647697	1	279.256148490159	274.076946963403	1
CASK	327.563023475298	1	193.328564118776	198.775135617722	648.913530161282	338.080739773129	339.328959875228	294.430995649719
CASP1	1	1	233.786177224221	1	1	1	1	1
CASP4	1	1	1	1	307.746403497481	181.908969432848	1	1
CAST	408.163719295212	457.044374740517	577.081736209219	403.324094929921	336.040565861233	294.167547617617	1	1
CAT	1	1	1	1	1	196.704533365622	1	1
CAV1	305.281906723993	1	1	1	1	1	1	1
CAV2	295.388598968938	1	1	1	1	1	1	1
CAVIN1	385.217023378863	1	1	1	1	1	1	1
CAVIN2	352.025052214809	1	1	1	1	1	1	1
